basalt	joint	1	g is for the giant s causeway giant s causeway northern ireland s most spectacular tourist attraction is a prime example of columnar jointing of a basalt lava flow	basalte	commun	1	elle est dure , a une température de 0 à 1 500 °c et se compose essentiellement d une roche volcanique très commune : le basalte
basalt	dissolve	1	it meant that the basalt was dissolving in the hot seawater , yielding a chemical plume that might hold within it the ingredients for the recipe of life	basalte	fondu	1	jusqu à 300 kilomètres de profondeur , il se compose de basalte fondu et mou le magma ; plus bas , il devient dur
cinder	incandescent	1	strombolian eruptions are named for stromboli volcano off the west coast of italy , where a typical eruption consist of the rhythmic ejection of incandescent cinder , lapilli , and bombs to heights of a few tens or hundreds of feet meters	scorie	incandescent	1	aujourd hui encore , toutes les 10 minutes environ , l une des cinq bouches éruptives du cratère émet des panaches incandescents de scories , fragments de lave poreux , en de superbes paraboles de feu
cinder	incandescent	2	gas leaving the magma propelled incandescent cinder and ash as high as 1,900 feet 580 m above the vent	scorie	incandescent	2	il a donné son nom au type d activité volcanique dite strombolienne , s accompagnant d explosions avec projection de scories incandescentes
cinder	incandescent			scorie	incandescent	3	le dynamisme strombolien il s exprime par des explosions rythmiques qui projettent des blocs et des scories incandescents
cinder	form	1	explosive eruptions caused by gas rapidly expanding and escaping from molten lava formed cinders that fell back around the vent , building up the cone to a height of 1,200 feet	scorie	former	1	c est un petit cône dont la paroi est abrupte , formé de scories soudées , se trouvant au-dessus du point d émission de la lave fluide pauvre en gaz fig
cinder	form	2	tradewinds blew the tephra to the southwest , where it accumulated to form the cinder cones	scorie	former		
cinder	volcanic	1	by studying the extent of erosion and soil development on lathrop wells , the researchers compared this volcanic cinder cones with a similar cone in southeastern california , indirectly dated at about 15,000 to 20,000 years old	scorie	volcanique	1	par extension , ce terme désigne aujourd hui les scories volcaniques basaltique exploitées comme granulats
cinder	volcanic	2	both watch over the peninsula s largest city , petropavlovsk-kamchatsky , a fishing center whose 200,000 residents live in buildings made of a concrete rich in volcanic cinders	scorie	volcanique		
cinder	volcanic	3	as we crunch along the floor of black volcanic cinders , scrambling over shiny cliffs of cold lava that become waterfalls in the rainy season , peter , 41 , is grinning with excitement	scorie	volcanique		
cinder	volcanic	4	in many eruptions , the froth is shattered explosively into small fragments that are hurled high into the air in the form of volcanic cinders red or black , volcanic ash commonly tan or gray , and volcanic dust	scorie	volcanique		
